year,nondurables,services
1929,33941,33613
1930,30503,31972
1931,25798,28963
1932,20169,24587
1933,19994,22189
1934,23919,22978
1935,26135,24305
1936,29221,26218
1937,30980,28466
1938,29883,28266
1939,30754,29287
1940,32345,30655
1941,37180,33624
1942,43395,37976
1943,48861,43570
1944,52788,48117
1945,58525,52354
1946,69131,57953
1947,77596,62423
1948,82966,67459
1949,81457,70252
1950,84384,75215
1951,93009,83591
1952,97542,90535
1953,100219,97905
1954,102053,103842
1955,106653,110890
1956,111985,118973
1957,117575,126693
1958,122038,134038
1959,127719,144523
1960,131390,154165
1961,134602,162667
1962,139504,173588
1963,143927,183880
1964,152696,198380
1965,163285,213298
1966,177874,230300
1967,185009,247695
1968,199788,272236
1969,214195,298960
1970,228806,327931
1971,239670,357821
1972,257371,394338
1973,286108,432939
1974,321361,478623
1975,349170,539213
1976,377680,601361
1977,408421,673591
1978,450218,758686
1979,511598,847482
1980,573402,950874
1981,625430,1064583
1982,646258,1171966
1983,678753,1307821
1984,721545,1428640
1985,757244,1575221
1986,774188,1690651
1987,814275,1819982
1988,862256,1992703
1989,929475,2152953
1990,994222,2317693
1991,1020252,2446015
1992,1055186,2634291
1993,1090814,2809637
1994,1139382,2974411
1995,1179795,3147057
1996,1241376,3326925
1997,1290976,3530285
1998,1329146,3768809
1999,1431493,3996696
2000,1540600,4314008
2001,1584078,4548208
2002,1613437,4750136
2003,1704797,5018152
2004,1821447,5329939
2005,1954313,5686143
2006,2081322,6037580
2007,2178988,6379563
2008,2264460,6686862
2009,2167901,6711196
2010,2268862,6942432
2011,2424622,7180736
2012,2493518,7409624
2013,2550398,7646050
2014,2639317,7987873
2015,2639336,8342308
2016,2676541,8693813
2017,2796304,9078411
2018,2925377,9520234
2019,3009173,9904726
2020,3089772,9518956
2021,3510106,10613573
2022,3861045,11751760
2023,3981293,12698856
2024,4075905,13581992
